Téma,"Állítás

EGYETÉRTEK
NEM ÉRTEK EGYET
NEM TUDOM / NEM ÉRDEKEL","Indoklás, pro és kontra",Közösségi közlekedés városa,,15 perces város,,Fenntartható város,,Hi-tech város,,Autóközpontú város,,Régiós gazdasági központ,
🏛️👮 ÁLLAM,"Helyes, ha az évtized végéig sor kerül a leginkább szennyező gépjárművek korlátozására, kitiltására.","Más városok már létrehoztak alacsony károsanyag-kibocsátású zónákat, ahová a leginkább szennyező járművek nem hajthatnak be. A jogi lehetőségek függvényében egyesek szerint a városnak is törekednie kellene e járművek fokozatos kitiltására, vagy a CO2 kibocsátás alapján magasabb díjak fizetésére. Mások szerint nem szabad büntetni ezen járművek tulajdonosait, meg kell várni, hogy ezek maguktól eltűnjenek az utakról.",NEM RELEVÁNS,"Ebben a jövőképben a város nem tiltással és korlátozással, hanem puha ösztönzőkkel igyekszik elérni, hogy minél többen a közösségi közlekedést válasszák. A költségek növelése ugyanakkor felmerülhet.",NEM RELEVÁNS,"A gépjárműforgalom a központi részekből általánosan kiszorul, itt a gyalogosoké és a kerékpárosoké az elsőbbség. A hosszabb távú utak esetében a város nem korlátozza az ilyen gépjárművek használatát.",IGEN,"Ebben a jövőképben a környezeti szempontok érvényesítése elsődleges, ezek a járművek már nem közlekedhetnek a sűrűn lakott részeken, illetve fenntartásuk eleve költségesebb.",IGEN,"Ebben a jövőképben a közlekedés zöldítése a szolgáltatások közti verseny egyik tényezője. Mivel létezik nyomás az iparági szereplők részéről az elektromos átállásra, illetve az erősebb piaci szereplők ilyen módon is előnyhöz akarnak jutni, elképzelhető, hogy ilyen korlátozó intézkedések bevezetésre kerülnek.",NEM,"Ebben a jövőképben jelentős ellenállást váltana ki egy ilyen intézkedés, ezért ezek a járművek csak lassan tűnnek el az utakról.",IGEN,"Ebben a jövőképben elképzelhető egy tervszerű, előre bejelentett, hosszabb távon érvényesített korlátozás, összekapcsolva a környezetbarátabb járművekhez nyújtott támogatással, hiszen ez előnyös a gazdasági szereplők számára is."
🏛️👮 ÁLLAM,"Amennyiben a szálló por koncentrációja tartósan meghaladja az egészségügyi határértéket, korlátozni kell a belső égésű motoros autók közlekedését.","Az intézkedés bevezetésének költsége a gyakran szállópornak nevezett, egészségre veszélyes mikrorészecskék monitoringrendszerének fejlesztése és kamerarendszer kiépítése, illetve a közösségi közlekedés kapacitásbővítése. A korlátozás pl. Euro motor besorolás, vagy a jármű életkora alapján történhet. Az intézkedés egészségügyi hasznai várhatóan meghaladják a kiadásokat, de kellemetlenséget okoz azoknak, akiket érint a korlátozás.",IGEN,"Ebben a jövőképben létezik protokoll arra nézve, hogy ilyen esetben milyen módon lehet (a közösségi közlekedésre támaszkodva) korlátozásokat bevezetni.",IGEN,Ebben a jövőképben behajtási korlátozásokkal és intenzív tájékoztatással zajló protokoll indul be az érintett zónákban.,IGEN,"Ebben a jövőképben eleve léteznek alacsony károsanyag-kibocsátású zónák, és intenzív figyelem övezi a levegőminőséget, a határérték meghaladására pedig szigorú protokoll vonatkozik.",IGEN,"Ebben a jövőképben létezik protokoll arra nézve, hogy ilyen esetben milyen módon lehet korlátozásokat bevezetni. Ez érdemben korlátoz bizonyos járműveket, de tekintettel van a gazdaság működésének fenntartására.",NEM,"Komoly ellenállást váltott ki a lakosság körében a szmogriadó terve, így jelenleg csak tájékoztatás történik, illetve a városvezetés ígéri, hogy a jövőben támogatást fog nyújtani a leginkább szennyező, kétezres években gyártott autók lecserélésére.",NEM RELEVÁNS,"Bár formálisan létezik protokoll, amely ilyen esetben lehetővé tenné a leginkább problémás járművek kivonását a forgalomból, ez a gyakorlatban kevesek számára ismert, tisztázatlan szabályokat tartalmaz és még nem került használatra."
🚸🚗 KÖZLEKEDÉS,A ritkábban lakott külső városrészek és agglomerációs települések közlekedésében belátható időn belül nincs alternatívája az autóhasználatnak.,"Az állítással egyetértők közül sokan úgy gondolják, el kell fogadni, hogy a város számos ritkábban lakott negyedében nem lehet hatékony, versenyképes közösségi közlekedést biztosítani, vagy azt más mikromobilitási eszközökkel kombinálni. Mások szerint az önkormányzatnak törekednie kell arra, hogy a közösségi közlekedés mindenhol reális alternatíva legyen az autóhoz képest.",NEM,"A város a közlekedésszervezés és a költségek megállapítása során arra törekszik, hogy a közösségi közlekedést a napi használatban vonzóbbá tegye elsősorban az egyéni autóhasználathoz képest.",NEM RELEVÁNS,"Ebben a jövőképben a lakónegyedek gyalogos, kerékpáros bejárhatósága prioritás, ugyanakkor az alközpontok között az autóhasználat számottevő - és néhány esetben kiválthatatlan - marad.",NEM,"Ebben a jövőképben a város nem terjeszkedik olyan módon, hogy az nélkülözhetetlenné tenné a mindennapos autóhasználatot. A többség a közösségi közlekedéssel és kerékpárral jól megközelíthető városrészek felé mozdul, a közösségi közlekedés fejlesztésénél pedig kifejezetten szempont, hogy mindenhol alternatívát teremtsenek az autóhasználatnak.",IGEN,"Kísérleti jelleggel megjelennek olyan megoldások, amelyek az egyéni autóhasználatot hivatottak kiváltani ritkábban lakott, külső városrészekben, egyéni igényalapú közösségi eszközökkel, de összességében sok ember számára, pl. a centralizált szolgáltatások eléréséhez.",IGEN,A kevés helyben elérhető szolgáltatás és a közösségi közlekedés fejletlensége miatt a legtöbb ilyen városrészben nincs alternatívája az autóhasználatnak.,IGEN,"A koncentrált szolgáltatások és az új ingatlanfejlesztéseket nem lekövető közösségi közlekedés miatt számos olyan pontja van a városnak, ahol az autó a kizárólagos közlekedési forma."
🏛️👮 ÁLLAM,A közlekedésszervezési döntéseket az érintett lakosok aktív bevonásával kell meghozni.,"Sokak szerint a jó várospolitikához az érintettek aktív részvételére van szükség a döntéshozatalban. Ehhez az önkormányzatnak ösztönöznie kell az egyének és közösségek aktivitását a közügyekben és szakszerűen becsatornázni az álláspontjukat. Ez igen költséges, és sok tényezőtől függ, milyen szintű aktivitás várható az emberektől. Ezért vannak, akik szerint átfogó várospolitikai koncepciók alapján részvételiség helyett inkább szakértőknek kell a döntéseket meghozni, akár az érintett helyszín lakosainak akarata ellenére is követve a kitűzött célokat, ha az közösségi szinten előnyösebb helyzetet teremt.",NEM,"Ebben a jövőképben a lakosság biztonságra törekvő, de passzív értékválasztására alapozva központilag, tervszerűen, felülről születnek meg a közlekedéspolitikai döntések.",IGEN,"Ebben a jövőképben a város kiemelten fontosnak tartja, hogy a közterek kialakításába a lakosok beleszóljanak, önálló részvételi osztály végzi a döntések társadalmasítását.",IGEN,"Ebben a jövőképben a város kiemelten fontosnak tartja, hogy a közterek kialakításába a lakosok beleszóljanak, önálló részvételi osztály végzi a döntések társadalmasítását, és aktív civil, közösségi nyomásgyakorló csoportok működnek a városban.",NEM RELEVÁNS,"Ebben a jövőképben az egyének elsősorban fogyasztók, akik a vásárlási döntéseikkel és adataikkal adnak információt a döntéshozóknak az igényeikről. Ez azonban nem csatornázódik be nyitott, bevonó, demokratikus eljárásokba.",NEM,"Ebben a jövőképben a többségi vélemény a képviseleti demokrácia intézményein keresztül jut érvényre, alapvetően a városi képviselők közvetítik választóik vélt vagy valós érdekeit.",NEM,"Ebben a jövőképben a lakosok érdeke mellett számos más, szervezett érdekcsoport formálja a közpolitikai döntéseket. Ezek közül kiemelkedően fontosak a helyi nagyadózó vállalatok és az ingatlanbefektetők, akik képesek felülírni akár a helyiek kinyilvánított akaratát is."
💁🏻‍♀️🏠 EGYÉN,Elérhetővé kell tenni a közösségi élet színtereit minden városrészben.,"A közösségi programok számára a turisztikai szempontból legfrekventáltabb, látnivalókhoz és belvároshoz kötődő helyszínek logikus választásnak tűnnek. Vannak azonban, akik szerint biztosítani kell a teraszokat, mikroparkokat, sétálóutcákat, közösségi házakat minden negyedben, és szerencsésebb, ha a városi rendezvények és események sem koncentrálódnak a belvárosba.",NEM,A közösségi közlekedéssel jól megközelíthető központi városnegyedekben összpontosulnak a programlehetőségek.,IGEN,"Ebben a jövőképben kifejezett prioritás, hogy a lakóhely közelében programok és közösségek széles kínálata legyen elérhető.",IGEN,Ebben a jövőképben az önszerveződő közösségek számos aktivitást kínálnak városszerte.,NEM,"Ebben a jövőképben a programlehetőségek az újonnan épült tudásközpontokba, kulturális színterekbe összpontosulnak. Azokban a városrészekben, ahol nincs piacképes kereslet, nem jönnek létre közösségi tevékenységek.",NEM,"Ebben a jövőképben az autóval érkező vásárlókra fókuszáló bevásárló- és szolgáltató központok, illetve a belváros kínál néhány csomópontban ilyen programlehetőségeket. Az agglomerációban esetleges, hogy kialakulnak-e élő közösségek.",NEM,"Ebben a jövőképben az autóval érkező vásárlókra fókuszáló bevásárló- és szolgáltató központok, illetve a belváros kínál néhány csomópontban ilyen programlehetőségeket. A szegényebb városrészekben kevés szolgáltatás és programhelyszín él meg."
🏛️👮 ÁLLAM,Az önkormányzat kiemelt feladata biztosítani a magas színvonalú közösségi közlekedést az egész városban.,"Egy városszerte kiszámítható menetrenddel, egységesen magas szolgáltatási színvonalon működő, fenntartható hálózat kialakítása a város költségvetésének jelentős részét felemésztheti. Az állítással egyetértők szerint ez megtérülő befektetés, mivel a közlekedési rendszer csak közösségi szinten szervezhető meg optimálisan. Mások szerint a városnak máshová kellene összpontosítania az erőforrásait. Szerintük egy kisebb, hatékonyan működtethető hálózat fenntartása mellett rá kell bízni az államra, a piaci szolgáltatókra és az egyénekre a közlekedésüket.",IGEN,"Ebben a jövőképben a városvezetés egyértelmű közlekedéspolitikai prioritása a magas színvonalú, kiterjedt közösségi közlekedési rendszer biztosítása. A rendszerbe bevon alvállalkozókat, de egységes szolgáltatási színvonalat vár el, koordinált rendszerben.",NEM,"Ebben a jövőképben a városvezetés a kompakt városnegyedek szintjén az aktív közlekedést részesíti előnyben, ezek között viszont alacsony hatékonyságú (magas költséggel járó) közösségi közlekedést alig tart fenn. Néhány busz- és villamosvonal kivételével magánszolgáltatók működnek.",IGEN,"Ebben a jövőképben a város az alacsonyabb közlekedési igényekhez igazodó, de magas minőségű, hatékony elektromos közösségi közlekedést - illetve ehhez kapcsolódó mikromobilitási hálózatot - tart fenn. Csak szigorú feltételekkel, a környezeti hatékonyságra és a szolgáltatás minőségére, biztonságára tekintettel nyújthatnak magáncégek szolgáltatást, jelenlétük ezért nem számottevő. A város számos periférikus városrészben nyújt nem hatékony közösségi közlekedési szolgáltatást környezeti és szociális szempontok alapján.",NEM,"Az elmúlt évtizedekben a közösségi közlekedés privatizálása történt meg. A közlekedés területén az önkormányzat inkább koordináló feladatokat lát el az egyéni, közösségi és piaci megoldások támogatására. Igen korlátozott saját szolgáltatást nyújt, a szolgáltatásszervezésben vele egyenrangú félként jelennek meg külső piaci szolgáltatók.",NEM RELEVÁNS,"Ebben a jövőképben az önkormányzat ugyan biztosít egy nem túl magas színvonalú, az egész városra kiterjedő közösségi közlekedési szolgáltatást, de ez nem foglal el elsődleges helyet a feladatai rendszerében, és a közlekedéspolitikájában sem élvez elsőbbséget a közösségi közlekedés.",NEM,"Ebben a jövőképben az önkormányzat ugyan biztosít egy nem túl magas színvonalú, az egész városra kiterjedő közösségi közlekedési szolgáltatást, de nem foglal el elsődleges helyet a feladatai rendszerében, és a közlekedéspolitikájában sem élvez elsőbbséget a közösségi közlekedés. A városvezetés mellett számos magáncég (munkahely, kereskedelmi központ) is végez személyszállítást."
🚦🚶🏻‍♀️ KÖZTÉR,A történelmi belvárosnak elsősorban a turizmus igényeit kell kiszolgálnia.,"A nagy idegenforgalmi potenciál miatt a belváros egyre inkább a turisták számára kínált szolgáltatásokkal és a számukra kínált szálláshelyekkel telik meg. Van, aki szerint ez gazdaságilag előnyös és a beruházásokkal a városkép, és ezzel a város vonzereje is emelkedik. Mások szerint a folyamat az agglomerációba szorítja ki lakosokat és megfosztja az itt élőket attól, hogy városuk központját közösségi életre használják.",IGEN,"Ebben a jövőképben a város gazdaságának fontos lába a turizmus, de a könnyen elérhető negyedben a helyiek számára is maradnak szolgáltatások.",NEM,"Ebben a jövőképben a belváros nagyobb része egy vegyes funkciójú, forgalomcsillapított városi alközpont része, ami magas életminőséget biztosít az itt lakók számára.",NEM,"Ebben a jövőképben a tömegturizmus aktív visszaszorításával a belváros egy vegyes funkciójú, forgalomcsillapított városi alközpont, ami magas minőségű, fenntartható életet biztosít az itt lakók számára.",IGEN,"Ebben a jövőképben a város gazdaságának fontos lába a belvárosba összpontosuló turizmus, a helyiek a szórakozóhelyek kivételével jellemzően máshol veszik igénybe a szolgáltatásokat és digitálisan intézik ügyeiket.",NEM,"Ebben a jövőképben számos szolgáltatás, hivatali ügyintézés és munkahely továbbra is a belvárosba koncentrálódik. Ez jelentős forgalmat generál, és csak néhány utcára korlátozza a turisták számára kialakított belvárost.",IGEN,"Ebben a jövőképben a jelentős beruházásokkal fejlesztett turistabelváros alapvetően az idegenforgalom igényeit szolgálja ki, a lakosok máshová költöznek innen."
🏛️👮 ÁLLAM,Legyen arányaiban költségesebb a többedik és a nagy méretű járművek fenntartása.,"Sokan igazságossági okokból, vagy a közterületi parkolás problémái miatt úgy látják helyesnek, ha a többedik magánhasználatú autóra már nem vonatkoznak lakossági kedvezmények, a nagy méretű autók (pl. városi terepjárók) pedig magasabb díjat fizetnek a parkolásért. Mások szerint a helyi lakosok gépjárműveire az önkormányzatnak általában biztosítani kell az ingyenességet és típustól, mérettől függetlenül azonos díjakat érvényesíteni.",IGEN,"Ebben a jövőképben a többség nyitott a korábbi egyéni döntések központi eldöntésére és a közösségi érdek priorizálása az egyénivel szemben, így (szociális helyzetre tekintettel lévő kedvezmények fenntartásával) extra terheket viselnek a több gépjárművet használó háztartások.",IGEN,Ebben a jövőképben a közterületek élhetőbbé tételét célzó átalakítás részeként jelentősen megnövelték a közterületi parkolás költségeit.,IGEN,"Ebben a jövőképben a közterületek élhetőbbé tételét célzó átalakítás részeként jelentősen megnövelték a közterületi parkolás költségeit, de más, környezeti és szociális szempontokat érvényesítő terhek és tiltások is ellenösztönzik, hogy a háztartások több saját gépjárművet tartsanak fenn és tároljanak közterületen.",NEM,"Ebben a jövőképben a közlekedési és parkolási rendszer korlátozásai és ösztönzői nem szociális vagy jövedelmi helyzetre tekintettel, hanem adatalapú megoldásokkal, piaci alapon (pl. keresletalapú, dinamikus árszabással) avatkozik be a forgalom szabályozásába.",NEM,"Ebben a jövőképben nincs ilyen jellegű korlátozás, a helyben lakók számára jelentős kedvezményeket és mentességeket biztosítanak a parkolási díjakból.",NEM,"Ebben a jövőképben bizonyos zónákban (pl. belváros) jelentősen visszaszorították a helyi lakosok többedik autóira korábban járó kedvezményeket, ugyanakkor a rendszer nem érvényesít általánosan olyan díjszabást, ami ellenösztönözné a többedik gépjármű használatát a városban."
💁🏻‍♀️🏠 EGYÉN,A belvárosi forgalmat a parkolási díjak közösségi közlekedési díjak fölé emelésévével lehet csökkenteni.,"Egyesek alkalmas eszköznek tartják a parkolási díjak emelését arra, hogy a hétköznapi, nem nélkülözhetetlen autóhasználat helyett többen válasszák a közösségi közlekedést. Mások szerint a díjak emelése nem elfogadható eszköz, ehelyett pozitív ösztönzőkkel kell élni.",IGEN,Ebben a jövőképben a közösségi közlekedés megfizethető tarifái és a belvárosi övezet magas parkolási díjai ellenösztönzik az autóhasználatot.,NEM RELEVÁNS,"Ebben a jövőképben a belváros nagy része nem megközelíthető személygépjárművel, a közterületi parkolás nagy részben ki lett váltva, de ebben csak kis szerepet játszott a parkolási díjak emelése.",IGEN,"Ebben a jövőképben a parkolási rendszer az egész városra kiterjed, ösztönözve az aktív közlekedési módok és a közösségi közlekedés használatát. Emellett a belvárosban számos forgalomkorlátozó intézkedés teremt teret a közösségi terek, zöldfelületek számára.",NEM RELEVÁNS,"A belváros az online vásárlás elterjedésével egy stagnáló, nagy mértékben önkiszolgáló üzletekkel és étteremekkel teli, közlekedési szempontból terhelt része a városnak, ahol progresszív díjszabású, okos parkolási megoldásokkal igyekeznek elejét venni a közlekedési káosznak. A közösségi közlekedés egy az elérhető megoldások közül, a díjszabás nem erre tekintettel, hanem a keresletre reagálva kerül kialakításra.",NEM,"Ebben a jövőképben a belváros egy forgalmas, a kiskereskedelem hanyatlása mellett is sok funkciót magába sűrítő városrész, ahol döntően a parkolási kapacitás maximalizálása szolgálja ki a közlekedési igényeket.",NEM,"Ebben a jövőképben a belváros egy forgalmas, az ide érkező befektetések miatt a kiskereskedelem hanyatlása mellett is sok funkciót magába sűrítő városrész. Míg egyes utcákban aktív forgalomkorlátozással élnek, máshol igyekeznek bővíteni a parkolási kapacitást. Némely viszonylatban a közösségi közlekedés és a P+R parkolók versenyképes alternatívát biztosítanak az autós megközelítéssel szemben, a díjszabás ugyanakkor nem szolgálja kifejezetten a közösségi közlekedésre való átterelést."
🚦🚶🏻‍♀️ KÖZTÉR,A lakók életminőségének javítása érdekében az önkormányzat szűrje ki az átmenőforgalmat a lakóutcákból és az iskolautcákból.,"Az utcákból forgalmi irányok változtatásával, hurkok kialakításával, lakó- és pihenő övezetek létesítésével, filterek alkalmazásával, busz-, és - vagy kerékpársávok kijelölésével szűrhető ki az átmenőforgalom. Az iskolák előtt ahol lehetséges, autómentes, egyedi, játékos környezetet lehet így kialakítani. A változtatás csendesebb és biztonságosabb viszonyokat teremt, de átmeneti bizonytalansággal, konfliktusokkal és ellenállással járhat. A lakóutca lakóterületek belső forgalmát bonyolítja le, az állítás nem vonatkozik a nagy átmenőforgalmat bonyolító utakra, amelyek mellett lakások is vannak.

",IGEN,"Ebben a jövőképben egy komplex, több éves, egész városra kiterjedő, felülről vezérelt program szerint lezajlott az átmenőforgalom kiszűrése a lakóutcákból.",IGEN,"Ebben a jövőképben egy komplex, több éves, egész városra kiterjedő program szerint, érdemi lakossági bevonással és konfliktusok mellet lezajlott az átmenőforgalom kiszűrése a lakóutcákból.",IGEN,"Ebben a jövőképben egy komplex, több éves, egész városra kiterjedő program szerint, érdemi lakossági bevonással és konfliktusok mellet lezajlott az átmenőforgalom kiszűrése a lakóutcákból.",NEM,"Ebben a jövőképben folyamatos kísérletezés zajlik az intelligens forgalomirányítás rendszereivel, de a lakóutcákat érintő városszintű forgalomcsillapítási törekvések a konfliktusok és a szolgáltatók ellenállása miatt meghiúsúltak, ezért erre csak szórványos példák vannak.",NEM,Ebben a jövőképben az erre tett kísérletek konfliktusba fulladtak és megbuktak a lakosok és az autósok ellenállásán.,NEM RELEVÁNS,"Ebben a jövőképben számos helyen létrejöttek forgalomcsillapított lakóutcák, de ez nem általános városszintű irányelv, hanem inkább érdekcsoportok és a beruházói lobbi eredménye. Más helyeken jelentős közlekedési terhelés nehezedik a lakóutcákra."
🚸🚗 KÖZLEKEDÉS,"Ahol a legnagyobbak a dugók, és erre lehetőség van, bővíteni kell az utak, kereszteződések kapacitását.","Sokan a legforgalmasabb csomópontokban pártolnák, ha akár régi épületek elbontásával vagy zöldsávok bevonásával bővítenék a kereszteződések átengedőkapacitását, új sávokat alakítanának ki. Mások szerint az ilyen beavatkozások csak még nagyobb forgalmat gerjesztenének, amelyet nem lehet egy ponton túl infrastruktúrával kielégíteni.",NEM,"Ebben a jövőképben a városvezetés megfelelő színvonalú és kapacitású közösségi közlekedést biztosít ott, ahol dugók alakulnak ki.",NEM,Ebben a jövőképben nem merül fel az igény az utak kapacitásának bővítésére.,NEM,"Ebben a jövőképben elképzelhetetlen, hogy a lakosok és a városvezetés támogasson az átmenőforgalom számára ilyen jellegű kapacitásnövelést.",NEM,"Ebben a jövőképben számos módon igyekeznek naprakész közlekedési adatok alapján optimalizálni a kapacitásokat, de ilyen intézkedésekre nem kerül sor.",IGEN,Ebben a jövőképben folyamatos infrastrukturális beruházások zajlanak a lakossági közlekedési igények kiszolgálására.,IGEN,Ebben a jövőképben folyamatos infrastrukturális beruházások zajlanak a lakossági és ipari közlekedési igények kiszolgálására.
🏛️👮 ÁLLAM,"Ösztönözni kell, hogy a kereskedelem és a szolgáltatások a városszéli hipermarketek helyett a városnegyedek központi részeinek üzlethelyiségeibe térjenek vissza.","Sokak szerint a nagy áruházak nyújtotta kínálat és árszínvonal nem pótolható. Mások szerint a lakóhelyhez közeli kis üzletek nemcsak a helyi vállalkozók megélhetése miatt fontosak, de az autóforgalom csökkentése miatt is. Ehhez azonban kedvező bérleti konstrukciókban elérhető üzlethelyiségekre, a sűrűn lakott részeken új üzletházakra és városon belüli, gyalogosan elérhető, tudatosan fejlesztett alközpontokra van szükség a városszéli kereskedelmi zónák növelésének leállítása mellett.",NEM RELEVÁNS,"Ebben a jövőképben a város nem avatkozik be az üzletek helyválasztásába. Ugyan törekszik arra, hogy az új létesítmények közösségi közlekedéssel kiszolgálhatóak legyenek, de nem gátolja az üzletközpontok terjeszkedését a kiskereskedelem érdekében.",IGEN,A 15 perces város koncepciójának fontos eleme a helyi gazdaság felpörgetése és a felújított köztereken az önkormányzati helyiségek jobb kihasználása.,IGEN,"Ebben a jövőképben nem nyitnak új, nagy területű üzletközpontokat. A kereskedelem és a szolgáltatások a helyi közösségi élet színtereibe vagy azok közelébe helyeződnek át.",NEM RELEVÁNS,"Ebben a jövőképben a város nem avatkozik be az üzletek helyválasztásába. A kereskedelem a mai helyzethez képest az online térbe tolódik el, ami inkább a helyi kiskereskedelmet érinti hátrányosan.",NEM,"Ebben a jövőképben a maihoz hasonló, autóra tervezett, a város szélén elhelyezkedő hipermarketekben, szolgáltató központokban zajlik a legtöbb tranzakció, itt érhetőek el a legjobb áron a tömegtermékek és a szolgáltatások.",NEM,"Ebben a jövőképben a város vállalkozó szellemben igyekszik első sorban értékesíteni, másodsorban hasznosítani az ingatlanait. Ugyan vannak törekvések főleg a turistabelvárosban a helyi üzletek felélesztésére, összességében ezek nem versenyképesek az új plázákkal."
🚸🚗 KÖZLEKEDÉS,Új autós éttermek építését nem szabad engedélyezni.,"Vannak, akik szerint az ilyen éttermek felesleges autóforgalmat generálnak, és a járó motorral várakozó járművek károsak a környezetre. Mások úgy gondolják, hogy a városi léthez hozzátartoznak a drive thru-k, a városnak pedig nem dolga beavatkozni a fogyasztók döntésébe.",IGEN,"A gyorséttermek továbbra is igen népszerűek, de ilyeneket főleg a közlekedési átszállópontokra, nagyobb csomópontokra engedélyeznek, autós éttermek rég nem nyíltak a városban.",IGEN,"A kereslet hiánya miatt fel sem merül ilyen éttermek engedélyezése: a városi alközpontokban, a lakóhelyhez közel széles kínálatban érhetőek el éttermek, kávézók.",IGEN,"Zöldszempontok és a kereslet hiánya miatt fel sem merül ilyen éttermek engedélyezése: a városi alközpontokban, a lakóhelyhez közel széles kínálatban érhetőek el éttermek, kávézók.",NEM RELEVÁNS,Ebben a jövőképben az ételkiszállítás és az áruszállítás digitalizációja szükségtelenné tette ezeket a helyszíneket. ,NEM,Ebben a jövőképben továbbra is számos szolgáltatás specializálódik az autós vendégekre.,NEM,Ebben a jövőképben továbbra is számos szolgáltatás specializálódik az autós vendégekre.
🚸🚗 KÖZLEKEDÉS,A város egész belterületén - a főutakat is beleértve - fokozatosan 30-as sebességövezetet kell kialakítani.,"Az intézkedés pártolói szerint ezzel csökkenthetőek a zaj- és légszennyezésből származó megbetegedések és elkerülhetőek a súlyos vagy halálos balesetek. Azzal érvelnek, hogy gyakran nem is lehet ennél gyorsabban közlekedni a városban. Mások szerint a forgalom folyamatossága és gyorsasága miatt káros volna egy ilyen intézkedés, és igen költséges annak nyomon követése, számonkérése.",IGEN,"A jövőkép alapvető értéke a biztonság, erre tekintettel a belterületi részeken folyamatosan bővítik a sebességkorlátozott övezeteket.",IGEN,"Ebben a jövőképben a gyalogos és kerékpáros közlekedés védelmében néhány útszakasz kivételével már 2040-ben is sebességkorlátozott utakkal találkozhatunk a városban, önmagát magyarázó, szabálykövető viselkedést kiváltó kialakítással.",IGEN,Ebben a jövőképben a gyalogos és kerékpáros közlekedés védelmében néhány útszakasz kivételével már 2040-ben is sebességkorlátozott utakkal találkozhatunk a városban.,NEM,"Ebben a jövőképben a városvezetés intenzíven monitorozza a gyorshajtást, és elemzi a közlekedésbiztonság helyzetét, ugyanakkor nincs átfogó, városszintű politikája a sebességkorlátozásra.",NEM,"Ebben a jövőképben csak elvétve, lakóutcákban találkozhatunk ilyen közlekedési renddel. A sebességhatárok be nem tartását ritkán szankcionálják, a szabálykövetést a közutak kialakítása sem segíti.",NEM,"Ebben a jövőképben nem létezik ilyen átfogó, városszintű koncepció, csupán néhány negyedben találkozhatunk korlátozott sebességű, ennek megfelelően kialakított övezetet."
💁🏻‍♀️🏠 EGYÉN,Az iskolába eljutást iskolabusz-rendszer kialakításával kell segíteni.,"A csúcsforgalom egyik összetevője, hogy a szülők autóval viszik iskolába a gyerekeket. Ezt tudná részben kezelni egy városi szintű iskolabusz-hálózat, ami biztonságban eljuttatná a gyerekeket az iskoláig. Mások szerint ez felesleges és drága többletszolgáltatás: a gyalogos közlekedés biztonságosabbá tételével, önkéntes gyalogbusz-hálózat szervezésével, a forgalom elől lezárt iskolautcák létrehozásával vagy a munkakezdés és az iskolakezdés eltolásával enélkül is megoldhatóak lennének a problémák.",NEM,"Ebben a jövőképben a sűrű, biztonságos közösségi közlekedési hálózat kiváltja az iskolabusz-rendszert.",NEM,Ebben a jövőképben a legtöbb tanuló gyalog vagy kerékpárral biztonságosan eljuthat az iskolába.,IGEN,"Ebben a jövőképben népszerűek a gyerekeket iskolába szállító járművek, amelyek időt spórolnak a szülőknek, amit így közösségi tevékenységekre fordíthatnak.",NEM,"Bár voltak kísérletek, hogyan lehet hatékony, piacképes megosztott szolgáltatással, vagy önvezető, igényalapú eszközökkel átalakítani a reggeli iskolába járást, ezek nem váltották be a hozzájuk fűzött reményeket, a város pedig nem nyújt támogatást a fenntartásukra.",NEM,"A legtöbbek számára az, hogy az egyik szülő autóval szállítja iskolába a gyereket, a mindennapi rutin része. Az ezt kiváltó, megfelelő színvonalú szolgáltatás fenntartására nincs forrás.",IGEN,"A reggeli forgalomszervezés és a munkába járás hatékonyságát érdemben javította a kiterjedt iskolabusz-hálózat létrehozatala, amelyet a város mellett nagyvállalatok társfinanszíroznak."
🚸🚗 KÖZLEKEDÉS,A közlekedésre fordítható fejlesztési források felhasználásánál előtérbe kell helyezni a kerékpárhálózat fejlesztését.,"A kerékpáros közlekedést leginkább az egybefüggő, kerülőutaktól mentes, biztonságos hálózat ösztönzi. Ennek kiépítése szükségessé teszi, hogy az önkormányzat a számára elérhető (pl. EU-s) forrásoknál a kerékpáros fejlesztéseket részesítse előnyben és a közterületek átalakításakor helyet biztosítson kerékpártárolóknak, töltőpontoknak elektromos kerékpárok részére. Mások úgy látják, a kerékpáros közlekedésben nincs akkora növekedési potenciál, szerintük máshol jobban hasznosulnának ezek a források.",NEM,A források túlnyomó részét a közösségi közlekedési hálózat fejlesztése felemészti.,IGEN,Ebben a jövőképben jelentős forrásokat fordítanak kerékpárosbarát közterületi átalakításokra és a városi alközpontokat összekötő bringasztrádákra.,IGEN,Ebben a jövőképben jelentős forrásokat fordítanak kerékpárosbarát közterületi átalakításokra és a városi alközpontokat összekötő bringasztrádákra.,NEM RELEVÁNS,"Ebben a jövőképben új, vonzó városi negyedeket (pl. egyetemváros, kreatívipari központ) kiszolgáló közlekedésfejlesztéseken van a fókusz, ennek része a kerékpáros infrastruktúra fejlesztése is, amely ugyanakkor nem alkot egységes városszintű hálózatot.",NEM,"Ebben a jövőképben kevés forrást használnak kerékpáros fejlesztésekre, és ezek rendre háttérbe szorulnak a közúti fejlesztésekhez képest. A meglévő hálózat nagy része felfestett kerékpársáv, vagy gyalogútra terelt kerékpárút.",NEM,"Ebben a jövőképben kevés forrást használnak kerékpáros fejlesztésekre, és ezek rendre háttérbe szorulnak a közúti fejlesztésekhez képest. A meglévő hálózat nagy része felfestett kerékpársáv, vagy gyalogútra terelt kerékpárút."
